filters_id,bpm,key,lastModified,genre_id
117,84,F Major,1/3/2023,12
118,96,D Minor,1/5/2023,1
119,92,G Major,1/4/2023,9
120,116,G# Minor,1/14/2023,12
121,108,A Minor,1/6/2023,6
122,150,G Minor,1/10/2023,11
123,115,E Minor,1/9/2023,2
124,124,C Major,1/11/2023,10
125,101,C# Minor,1/5/2023,10
126,115,B Major,1/11/2023,11
127,121,A# Major,1/12/2023,3
128,119,F Major,1/1/2023,3
129,140,F Major,1/13/2023,4
130,125,F# Minor,1/14/2023,1
131,127,F Major,1/2/2023,13
132,146,A# Major,1/3/2023,4
133,95,B Major,1/12/2023,12
134,128,B Minor,1/13/2023,3
135,102,G# Minor,1/8/2023,14
136,99,F# Minor,1/9/2023,5
137,83,A Major,1/11/2023,14
138,132,G# Major,1/9/2023,6
139,88,F# Minor,1/9/2023,5
140,105,G# Major,1/13/2023,9
141,112,A Minor,1/6/2023,15
142,99,B Minor,1/11/2023,15
143,107,A# Minor,1/14/2023,10
144,96,B Major,1/11/2023,7
145,114,G# Major,1/8/2023,1
146,110,G Major,1/3/2023,14
147,102,D Minor,1/12/2023,10
148,134,B Major,1/7/2023,11
149,82,G# Major,1/11/2023,2
150,149,E Minor,1/1/2023,1
151,125,E Minor,1/9/2023,9
152,137,E Major,1/12/2023,6
153,101,D Major,1/4/2023,9
154,138,C# Minor,1/13/2023,13
155,98,G Minor,1/1/2023,1
156,127,F# Major,1/2/2023,12
157,129,G Major,1/1/2023,15
158,122,G# Minor,1/6/2023,6
159,98,A Major,1/8/2023,7
160,98,D# Minor,1/2/2023,9
161,112,D Minor,1/7/2023,4
162,102,D# Major,1/12/2023,4
163,115,C Major,1/3/2023,11
164,106,F Minor,1/3/2023,4
165,128,G Minor,1/5/2023,10
166,135,C Major,1/1/2023,7
167,126,C Major,1/3/2023,12
168,110,C Major,1/9/2023,13
169,139,C Minor,1/3/2023,7
170,164,G Minor,1/10/2023,14
171,119,D Major,1/5/2023,4
172,123,F# Major,1/8/2023,15
173,114,G Minor,1/5/2023,6
174,140,G# Major,1/8/2023,11
175,114,A# Minor,1/11/2023,3
176,122,F# Minor,1/12/2023,8
177,147,A# Major,1/7/2023,12
178,140,F# Major,1/2/2023,12
179,114,C# Minor,1/9/2023,14
180,75,F Minor,1/8/2023,14
181,77,F# Major,1/10/2023,2
182,122,F# Major,1/5/2023,9
183,160,C# Minor,1/14/2023,2
184,131,B Minor,1/9/2023,9
185,119,D Major,1/14/2023,2
186,85,G Minor,1/4/2023,6
187,114,C# Minor,1/9/2023,3
188,110,D# Major,1/12/2023,10
189,84,F Major,1/4/2023,5
190,158,C# Minor,1/6/2023,7
191,145,C# Major,1/2/2023,7
192,108,G Major,1/13/2023,1
193,92,G# Major,1/10/2023,13
194,133,G Minor,1/7/2023,10
195,130,A Minor,1/2/2023,6
196,152,C# Minor,1/11/2023,12
197,119,D Minor,1/4/2023,8
198,124,D Minor,1/3/2023,4
199,138,C Major,1/1/2023,14
200,140,E Minor,1/6/2023,5
201,102,D# Major,1/3/2023,7
202,91,G# Major,1/3/2023,12
203,105,A# Major,1/6/2023,3
204,127,C# Minor,1/6/2023,13
205,142,C# Minor,1/3/2023,7
206,99,G Major,1/14/2023,3
207,132,G# Major,1/12/2023,12
208,100,G# Major,1/2/2023,14
209,87,A# Minor,1/1/2023,1
210,144,G Major,1/2/2023,6
211,147,A Minor,1/10/2023,1
212,78,F Major,1/8/2023,12
213,91,G# Major,1/7/2023,13
214,114,D Minor,1/6/2023,2
215,124,C Minor,1/1/2023,1
216,123,A Major,1/14/2023,11
217,101,C Major,1/8/2023,5
218,100,A# Major,1/3/2023,10
219,112,G Major,1/8/2023,7
220,142,D# Minor,1/8/2023,12
221,106,D Minor,1/2/2023,10
222,133,C# Minor,1/12/2023,10
223,71,D Minor,1/4/2023,2
224,116,D Minor,1/4/2023,14
225,137,F Minor,1/8/2023,3
226,153,C Major,1/12/2023,14
227,163,D# Minor,1/12/2023,14
228,126,C# Major,1/10/2023,11
229,126,F# Major,1/2/2023,12
230,80,E Major,1/2/2023,15
231,103,E Minor,1/10/2023,9
232,132,F Major,1/9/2023,4
233,156,D# Minor,1/2/2023,2
234,126,B Major,1/5/2023,7
235,119,G# Major,1/12/2023,9
236,138,D Major,1/8/2023,11
237,111,A# Major,1/4/2023,7
238,101,A# Major,1/2/2023,15
239,95,A# Major,1/10/2023,12
240,112,B Minor,1/7/2023,8
241,100,A Major,1/2/2023,1
242,130,A Major,1/3/2023,9
243,129,C Minor,1/10/2023,14
244,92,D Major,1/5/2023,6
245,141,F# Major,1/14/2023,10
246,125,A# Major,1/2/2023,7
247,121,F# Major,1/13/2023,6
248,121,A Major,1/4/2023,10
249,130,F Minor,1/8/2023,7
250,125,G Major,1/13/2023,12
251,141,B Major,1/2/2023,6
252,98,A# Major,1/3/2023,2
253,92,D Minor,1/14/2023,5
254,130,A Major,1/14/2023,15
255,101,F Major,1/3/2023,6
256,121,C Major,1/5/2023,15
257,141,A# Major,1/9/2023,4
258,114,A Minor,1/10/2023,1
259,119,C Minor,1/2/2023,11
260,136,D Major,1/14/2023,15
261,125,F# Minor,1/11/2023,3
262,103,A# Major,1/2/2023,12
263,136,D Minor,1/13/2023,5
264,135,C Major,1/3/2023,9
265,79,D Minor,1/6/2023,1
266,137,D Minor,1/1/2023,6
267,122,D# Minor,1/6/2023,5
268,123,A Minor,1/4/2023,6
269,118,G# Minor,1/6/2023,9
270,111,F# Major,1/10/2023,4
271,120,A# Minor,1/8/2023,8
272,109,D# Major,1/6/2023,5
273,138,C Minor,1/11/2023,5
274,110,F# Major,1/13/2023,14
275,102,B Major,1/8/2023,9
276,137,A Major,1/2/2023,6
277,92,B Major,1/4/2023,12
278,114,C Minor,1/12/2023,5
279,140,C# Major,1/12/2023,2
280,120,G# Major,1/5/2023,2
281,138,A# Major,1/6/2023,5
282,105,D Minor,1/11/2023,5
283,163,A# Major,1/11/2023,13
284,98,A# Minor,1/4/2023,13
285,114,F# Major,1/6/2023,5
286,131,A Minor,1/12/2023,8
287,116,A# Minor,1/7/2023,3
288,117,G# Major,1/1/2023,6
289,99,C# Major,1/5/2023,7
290,150,C Minor,1/2/2023,7
291,106,G Major,1/14/2023,8
292,116,F Minor,1/14/2023,6
293,117,F Minor,1/3/2023,9
294,99,C# Major,1/6/2023,6
295,140,G Minor,1/7/2023,3
296,120,G Minor,1/13/2023,13
297,133,B Major,1/14/2023,12
298,122,A Minor,1/6/2023,13
299,125,B Minor,1/8/2023,11
300,166,G Major,1/4/2023,1
301,171,C# Minor,1/11/2023,3
302,119,D Major,1/3/2023,14
303,150,D# Major,1/1/2023,13
304,96,D# Minor,1/10/2023,2
305,133,F# Major,1/8/2023,7
306,129,G Major,1/9/2023,4
307,131,A# Minor,1/12/2023,3
308,105,G Major,1/13/2023,11
309,101,C Major,1/12/2023,12
310,108,B Minor,1/5/2023,7
311,117,C Major,1/2/2023,12
312,127,D Major,1/10/2023,1
313,118,D Minor,1/12/2023,9
314,113,G Minor,1/3/2023,2
315,158,A Minor,1/5/2023,10
316,110,D# Minor,1/2/2023,1
317,134,A Major,1/2/2023,7
318,122,G# Major,1/1/2023,14
319,103,G# Minor,1/10/2023,10
320,110,A Minor,1/11/2023,12
321,117,A Minor,1/11/2023,9
322,142,C Major,1/9/2023,9
323,84,G# Major,1/8/2023,12
324,106,D Minor,1/8/2023,7
325,155,D Minor,1/13/2023,9
326,134,G Minor,1/13/2023,6
327,145,F Minor,1/2/2023,5
328,105,D Minor,1/7/2023,5
329,135,C# Minor,1/13/2023,13
330,103,D Minor,1/6/2023,2
331,124,B Major,1/4/2023,4
332,118,G Minor,1/5/2023,10
333,129,F Major,1/7/2023,13
334,121,A# Minor,1/12/2023,6
335,134,A# Minor,1/4/2023,14
336,115,A Minor,1/5/2023,12
337,129,F Major,1/11/2023,4
338,107,G# Major,1/8/2023,10
339,87,F Major,1/11/2023,2
340,118,D Major,1/12/2023,7
341,95,C Major,1/1/2023,10
342,97,C# Major,1/9/2023,13
343,102,F# Major,1/9/2023,3
344,133,D# Minor,1/7/2023,10
345,113,A# Major,1/3/2023,13
346,151,A Major,1/1/2023,7
347,128,C Major,1/6/2023,2
348,112,D Major,1/9/2023,2
349,86,F Minor,1/13/2023,13
350,87,C# Minor,1/5/2023,9
351,137,D# Major,1/10/2023,14
352,100,F# Minor,1/3/2023,11
353,125,A Major,1/1/2023,5
354,109,G# Minor,1/4/2023,5
355,116,A# Major,1/4/2023,13
356,134,G Minor,1/1/2023,13
357,163,F# Major,1/11/2023,2
358,103,B Major,1/11/2023,3
359,93,F Major,1/8/2023,5
360,115,A Major,1/9/2023,7
361,125,E Major,1/8/2023,5
362,130,C# Minor,1/9/2023,7
363,97,F Major,1/10/2023,2
364,115,F Minor,1/12/2023,10
365,102,D# Minor,1/10/2023,6
366,117,A# Minor,1/11/2023,12
367,104,G Major,1/7/2023,12
368,78,D# Major,1/6/2023,5
369,112,A# Major,1/5/2023,3
370,148,F# Major,1/5/2023,11
371,128,F# Major,1/4/2023,3
372,95,E Minor,1/1/2023,13
373,115,B Major,1/10/2023,12
374,100,D# Minor,1/10/2023,2
375,123,G Minor,1/10/2023,8
376,115,B Minor,1/11/2023,12
377,115,D# Minor,1/12/2023,9
378,90,G Major,1/7/2023,13
379,149,F# Major,1/6/2023,9
380,123,F# Minor,1/11/2023,13
381,100,G# Minor,1/6/2023,15
382,137,A# Major,1/3/2023,13
383,81,E Major,1/11/2023,8
384,99,B Major,1/7/2023,11
385,91,E Major,1/9/2023,13
386,121,D# Major,1/11/2023,5
387,128,C Major,1/1/2023,13
388,102,D Minor,1/8/2023,4
389,116,A Major,1/4/2023,6
390,112,A# Major,1/12/2023,1
391,136,G Major,1/7/2023,14
392,121,A Major,1/9/2023,10
393,119,F Minor,1/3/2023,10
394,146,A# Major,1/14/2023,7
395,140,D# Minor,1/12/2023,14
396,95,B Major,1/2/2023,6
397,161,D Minor,1/4/2023,4
398,109,G Major,1/14/2023,15
399,95,G Major,1/2/2023,11
400,122,A# Minor,1/11/2023,10
401,110,D Minor,1/8/2023,13
402,112,A# Minor,1/6/2023,15
403,123,G Major,1/2/2023,12
404,114,B Minor,1/6/2023,12
405,123,A# Major,1/9/2023,5
406,100,B Minor,1/9/2023,10
407,114,F# Minor,1/6/2023,10
408,94,E Minor,1/4/2023,2
409,158,F# Major,1/11/2023,6
410,149,G# Major,1/12/2023,3
411,114,G# Minor,1/3/2023,15
412,70,D# Minor,1/7/2023,7
413,87,G Major,1/1/2023,7
414,106,G# Minor,1/8/2023,11
415,120,C# Minor,1/9/2023,15
416,103,G# Major,1/9/2023,3
417,160,F Major,1/8/2023,6
418,106,F Minor,1/2/2023,1
419,159,C Major,1/12/2023,2
420,81,F Minor,1/5/2023,15
421,115,A Major,1/2/2023,9
422,142,A Major,1/7/2023,9
423,106,F Minor,1/14/2023,4
424,136,C Minor,1/4/2023,2
425,118,A# Minor,1/13/2023,8
426,119,G# Major,1/5/2023,12
427,100,G# Minor,1/7/2023,2
428,120,D# Major,1/2/2023,14
429,129,D Major,1/7/2023,9
430,94,C# Major,1/12/2023,1
431,115,A# Major,1/4/2023,3
432,100,C Minor,1/8/2023,3
433,100,C Major,1/9/2023,5
434,125,D Major,1/14/2023,12
435,85,D# Major,1/9/2023,4
436,96,C Minor,1/2/2023,13
437,122,E Major,1/3/2023,7
438,111,A# Major,1/5/2023,8
439,98,B Major,1/7/2023,10
440,124,G Major,1/10/2023,8
441,152,C# Minor,1/1/2023,14
442,98,G Minor,1/10/2023,13
443,170,B Minor,1/10/2023,2
444,111,D# Major,1/1/2023,13
445,55,F# Minor,1/10/2023,14
446,104,A# Major,1/8/2023,1
447,114,G Major,1/5/2023,4
448,140,G# Minor,1/9/2023,11
449,140,F Minor,1/3/2023,15
450,107,G Major,1/14/2023,5
451,134,C# Minor,1/13/2023,10
452,93,C# Minor,1/10/2023,5
453,114,A# Major,1/11/2023,5
454,112,G Minor,1/10/2023,9
455,121,C Major,1/4/2023,2
456,116,E Minor,1/7/2023,3
457,126,D Minor,1/1/2023,2
458,134,B Major,1/8/2023,13
459,118,F# Minor,1/9/2023,10
460,93,C# Major,1/4/2023,12
461,119,G Minor,1/1/2023,2
462,114,F Major,1/1/2023,3
463,84,A# Major,1/10/2023,10
464,117,D# Major,1/1/2023,11
465,133,B Minor,1/3/2023,6
466,122,D Minor,1/9/2023,2
467,167,D# Major,1/7/2023,5
468,142,A Major,1/3/2023,12
469,169,C# Minor,1/7/2023,15
470,106,F# Minor,1/13/2023,4
471,155,G Major,1/10/2023,11
472,146,F Major,1/11/2023,8
473,121,G# Minor,1/4/2023,4
474,90,F# Major,1/14/2023,3
475,171,D# Major,1/2/2023,13
476,131,C# Major,1/14/2023,5
477,109,D# Minor,1/14/2023,1
478,84,E Major,1/13/2023,10
479,126,D Minor,1/10/2023,10
480,90,C# Major,1/8/2023,3
481,133,F Major,1/14/2023,15
482,113,F Minor,1/8/2023,3
483,101,F# Minor,1/9/2023,2
484,130,D Major,1/13/2023,6
485,151,G Major,1/9/2023,7
486,106,C# Major,1/7/2023,14
487,114,D# Major,1/6/2023,8
488,170,D Minor,1/14/2023,10
489,111,D# Minor,1/7/2023,1
490,98,C# Major,1/10/2023,14
491,154,D# Minor,1/12/2023,6
492,110,G# Minor,1/12/2023,4
493,106,A Major,1/2/2023,4
494,89,A# Minor,1/11/2023,9
495,95,F Major,1/8/2023,15
496,146,A Major,1/12/2023,8
497,89,D Major,1/5/2023,3
498,129,F Minor,1/14/2023,11
499,121,A# Major,1/9/2023,8
500,130,C Minor,1/2/2023,6
501,106,B Major,1/1/2023,12
502,115,F# Major,1/1/2023,1
503,115,G# Minor,1/13/2023,2
504,100,C Major,1/3/2023,1
505,127,A# Major,1/3/2023,7
506,100,D Major,1/13/2023,5
507,65,C Major,1/12/2023,1
508,119,C# Minor,1/8/2023,15
509,103,G Minor,1/1/2023,2
510,106,D Major,1/3/2023,9
511,128,G# Minor,1/1/2023,13
512,114,C Minor,1/1/2023,11
513,140,F# Major,1/1/2023,9
514,110,F# Minor,1/5/2023,15
515,139,B Major,1/10/2023,10
516,148,B Major,1/2/2023,14
517,114,F Minor,1/13/2023,12
518,139,A Minor,1/13/2023,12
519,126,A Minor,1/13/2023,2
520,136,F# Major,1/9/2023,15
521,98,C# Major,1/11/2023,5
522,98,F# Minor,1/1/2023,12
523,148,A Major,1/7/2023,2
524,121,G Minor,1/11/2023,10
525,65,D Major,1/4/2023,15
526,120,E Minor,1/12/2023,14
527,102,F# Major,1/7/2023,13
528,96,A# Minor,1/6/2023,3
529,128,A Minor,1/5/2023,5
530,115,E Major,1/13/2023,6
531,76,F# Minor,1/12/2023,2
532,109,C# Major,1/1/2023,4
533,104,G Major,1/7/2023,12
534,95,A# Minor,1/14/2023,8
535,122,B Minor,1/1/2023,8
536,103,G Major,1/7/2023,12
537,110,F# Minor,1/10/2023,5
538,118,A# Minor,1/6/2023,2
539,83,A# Major,1/6/2023,9
540,154,G Major,1/4/2023,2
541,155,A# Minor,1/8/2023,7
542,145,B Minor,1/8/2023,8
543,125,C Major,1/2/2023,2
544,127,A Major,1/4/2023,1
545,108,C# Major,1/1/2023,9
546,131,C Major,1/13/2023,2
547,130,A Minor,1/13/2023,6
548,138,E Minor,1/12/2023,4
549,113,A# Minor,1/2/2023,4
550,129,D# Minor,1/6/2023,10
551,121,D Minor,1/9/2023,15
552,128,A Minor,1/9/2023,6
553,94,D Minor,1/4/2023,2
554,122,E Minor,1/3/2023,11
555,134,A# Minor,1/12/2023,6
556,129,D Minor,1/6/2023,1
557,93,D# Minor,1/3/2023,5
558,125,D# Major,1/7/2023,8
559,101,E Major,1/5/2023,11
560,89,A# Minor,1/1/2023,4
561,123,D Major,1/10/2023,3
562,123,F Minor,1/8/2023,5
563,125,G Major,1/3/2023,12
564,134,F# Major,1/9/2023,11
565,112,C# Major,1/13/2023,12
566,103,A# Major,1/10/2023,9
567,120,A Major,1/12/2023,12
568,117,F# Minor,1/7/2023,14
569,89,D# Minor,1/10/2023,13
570,141,A Minor,1/12/2023,8
571,104,A Major,1/7/2023,1
572,92,F# Minor,1/5/2023,2
573,116,F# Minor,1/13/2023,1
574,145,G# Minor,1/6/2023,9
575,119,E Minor,1/2/2023,1
576,109,D Major,1/1/2023,2
577,114,A# Major,1/5/2023,12
578,112,D Minor,1/8/2023,14
579,109,A Major,1/14/2023,14
580,126,D Minor,1/6/2023,12
581,101,C Minor,1/12/2023,7
582,125,D# Major,1/1/2023,13
583,131,B Minor,1/8/2023,11
584,121,F Minor,1/5/2023,13
585,148,E Minor,1/2/2023,3
586,125,F Major,1/6/2023,15
587,136,E Minor,1/13/2023,15
588,125,F# Minor,1/14/2023,7
589,130,C Minor,1/11/2023,8
590,115,D# Minor,1/11/2023,15
591,144,G Minor,1/9/2023,10
592,117,E Minor,1/13/2023,7
593,108,C Minor,1/2/2023,1
594,146,A# Major,1/5/2023,11
595,124,D# Minor,1/8/2023,13
596,154,D Major,1/10/2023,3
597,148,C Minor,1/12/2023,13
598,117,C# Major,1/12/2023,9
599,132,B Major,1/8/2023,12
600,121,D Minor,1/8/2023,9
601,79,D# Major,1/2/2023,13
602,128,A# Major,1/3/2023,1
603,102,D Minor,1/3/2023,10
604,122,A# Major,1/7/2023,13
605,107,E Major,1/7/2023,9
606,119,G# Minor,1/11/2023,7
607,110,D# Major,1/4/2023,10
608,119,G Major,1/2/2023,11
609,141,F# Minor,1/5/2023,6
610,142,D# Minor,1/6/2023,4
611,121,E Major,1/3/2023,8
612,127,F Minor,1/4/2023,5
613,98,A# Minor,1/12/2023,10
614,80,F# Minor,1/11/2023,1
615,134,F# Minor,1/8/2023,5
616,122,B Minor,1/12/2023,13
617,129,D Major,1/4/2023,14
618,128,C Minor,1/12/2023,14
619,138,G# Major,1/3/2023,11
620,115,A Minor,1/9/2023,6
621,132,E Major,1/5/2023,6
622,114,A Major,1/7/2023,8
623,146,A# Major,1/12/2023,13
624,114,G# Major,1/11/2023,2
625,128,G# Major,1/10/2023,6
626,120,F# Major,1/6/2023,4
627,135,G# Major,1/14/2023,2
628,100,B Major,1/14/2023,13
629,134,D Minor,1/1/2023,3
630,100,D# Minor,1/13/2023,10
631,123,G Major,1/9/2023,2
632,146,C Minor,1/14/2023,12
633,121,B Major,1/1/2023,7
634,87,C Minor,1/11/2023,9
635,111,E Minor,1/7/2023,11
636,109,D# Major,1/13/2023,3
637,140,G Minor,1/5/2023,5
638,150,D Minor,1/9/2023,9
639,135,G Minor,1/6/2023,8
640,73,D# Major,1/13/2023,11
641,93,A# Minor,1/5/2023,11
642,102,A Major,1/10/2023,7
643,106,C Minor,1/6/2023,10
644,136,G# Major,1/6/2023,5
645,132,E Major,1/8/2023,2
646,135,C# Minor,1/11/2023,7
647,139,D# Major,1/11/2023,10
648,126,D# Minor,1/9/2023,1
649,129,E Major,1/7/2023,8
650,161,A Minor,1/4/2023,15
651,117,G Major,1/12/2023,7
652,173,G# Major,1/3/2023,12
653,107,F# Minor,1/1/2023,4
654,96,G# Major,1/12/2023,15
655,134,D Major,1/12/2023,10
656,140,E Minor,1/10/2023,6
657,121,C# Minor,1/2/2023,10
658,152,G# Major,1/6/2023,10
659,108,D Major,1/13/2023,5
660,123,D Minor,1/7/2023,2
661,164,B Minor,1/9/2023,14
662,147,G# Minor,1/1/2023,3
663,80,D Major,1/10/2023,5
664,145,C# Minor,1/2/2023,7
665,116,D Minor,1/6/2023,14
666,128,A Major,1/7/2023,4
667,144,E Minor,1/10/2023,5
668,115,C# Minor,1/14/2023,9
669,127,F Major,1/10/2023,3
670,108,A Minor,1/5/2023,5
671,112,C# Minor,1/10/2023,3
672,108,D# Minor,1/6/2023,13
673,112,F# Major,1/7/2023,15
674,89,C Minor,1/10/2023,12
675,108,G# Minor,1/14/2023,13
676,127,B Minor,1/13/2023,9
677,152,C# Minor,1/4/2023,11
678,114,F Major,1/6/2023,8
679,134,D# Major,1/8/2023,5
680,121,A Major,1/10/2023,10
681,135,G# Minor,1/5/2023,1
682,127,D Minor,1/3/2023,12
683,89,D# Major,1/1/2023,10
684,119,B Minor,1/3/2023,10
685,103,C Minor,1/11/2023,10
686,83,C Minor,1/12/2023,7
687,108,D# Minor,1/10/2023,5
688,95,G Major,1/12/2023,3
689,119,D# Major,1/2/2023,13
690,107,A Minor,1/5/2023,1
691,111,G Minor,1/8/2023,14
692,113,C Major,1/12/2023,4
693,83,E Minor,1/12/2023,10
694,155,A Major,1/10/2023,12
695,127,A Minor,1/4/2023,5
696,159,A Major,1/13/2023,12
697,122,D# Minor,1/2/2023,8
698,135,F Major,1/2/2023,15
699,158,C Major,1/13/2023,6
700,123,F# Minor,1/10/2023,11
701,100,C# Major,1/11/2023,2
702,136,C Major,1/8/2023,12
703,133,E Major,1/5/2023,4
704,149,G# Major,1/10/2023,8
705,146,C# Minor,1/8/2023,9
706,143,G Minor,1/11/2023,13
707,107,E Major,1/11/2023,11
708,118,E Major,1/4/2023,10
709,117,G# Major,1/9/2023,7
710,150,D# Minor,1/9/2023,2
711,116,C Minor,1/6/2023,15
712,115,A Major,1/13/2023,15
713,117,A# Major,1/14/2023,1
714,110,D Minor,1/12/2023,3
715,144,D# Minor,1/5/2023,2
716,147,C Minor,1/9/2023,5
717,137,G Minor,1/8/2023,10
718,171,A# Minor,1/11/2023,4
719,169,A Minor,1/14/2023,15
720,129,E Minor,1/1/2023,2
721,122,B Major,1/12/2023,11
722,139,C Major,1/6/2023,14
723,178,A Major,1/14/2023,7
724,120,A# Major,1/9/2023,6
725,96,G Major,1/10/2023,9
726,118,A Minor,1/10/2023,13
727,137,D Major,1/6/2023,2
728,115,F Minor,1/9/2023,6
729,119,G# Minor,1/1/2023,8
730,162,F# Major,1/4/2023,3
731,89,G Major,1/13/2023,6
732,90,C# Major,1/1/2023,4
733,106,D Minor,1/5/2023,12
734,98,F Minor,1/14/2023,1
735,148,C# Minor,1/9/2023,2
736,129,D# Major,1/9/2023,13
737,119,C Minor,1/1/2023,3
738,96,A# Minor,1/9/2023,9
739,116,F# Minor,1/12/2023,5
740,123,G Minor,1/9/2023,2
741,129,C Major,1/14/2023,4
742,141,A Minor,1/9/2023,1
743,111,A# Minor,1/3/2023,15
744,94,C Minor,1/8/2023,8
745,123,A# Major,1/7/2023,9
746,126,D# Major,1/11/2023,1
747,150,G Major,1/13/2023,11
748,104,C Minor,1/4/2023,6
749,104,C# Minor,1/5/2023,9
750,138,G Minor,1/3/2023,3
751,157,F# Major,1/9/2023,6
752,83,E Minor,1/5/2023,4
753,138,D# Minor,1/1/2023,6
754,123,C# Minor,1/9/2023,2
755,100,C Major,1/11/2023,14
756,177,G# Major,1/8/2023,14
757,128,D# Major,1/1/2023,9
758,139,D Minor,1/6/2023,1
759,92,C Major,1/3/2023,8
760,121,G# Major,1/1/2023,3
761,161,B Minor,1/10/2023,2
762,118,C# Minor,1/13/2023,12
763,148,C# Minor,1/2/2023,7
764,115,E Minor,1/11/2023,12
765,79,A Major,1/5/2023,4
766,136,G# Major,1/3/2023,4
767,123,G# Major,1/1/2023,14
768,132,D# Minor,1/6/2023,15
769,142,G Major,1/11/2023,4
770,124,A# Major,1/5/2023,5
771,94,C# Major,1/3/2023,11
772,134,G# Minor,1/10/2023,13
773,139,A# Major,1/13/2023,15
774,140,D# Minor,1/7/2023,1
775,120,G Major,1/3/2023,14
776,84,F Major,1/9/2023,6
777,98,F Major,1/5/2023,1
778,159,C# Minor,1/9/2023,14
